name,rank,count,pct
VILLARREAL,547,"61,355",0.000508
CHARLES,548,"61,211",0.000507
DRAKE,549,"61,162",0.000506
BARRERA,550,"60,998",0.000505
CAIN,551,"60,948",0.000504
PATRICK,552,"60,845",0.000503
PINEDA,553,"60,820",0.000503
BURNETT,554,"60,791",0.000503
MERCADO,555,"60,761",0.000503
SANTANA,556,"60,667",0.000502
SHEPHERD,557,"60,479",0.000500
BAUTISTA,558,"60,264",0.000499
ALI,559,"60,002",0.000497
SHAFFER,560,"59,943",0.000496
LAMB,561,"59,913",0.000496
TREVINO,562,"59,882",0.000496
MCKENZIE,563,"59,595",0.000493
HESS,564,"59,486",0.000492
BEIL,565,"59,463",0.000492
OLSEN,566,"59,356",0.000491
COCHRAN,567,"59,350",0.000491
MORTON,568,"59,213",0.000490
NASH,569,"58,714",0.000486
WILKINS,570,"58,634",0.000485
PETERSEN,571,"58,480",0.000484
BRIGGS,572,"58,408",0.000483
SHAH,573,"58,287",0.000482
ROTH,574,"58,278",0.000482
NICHOLSON,575,"58,151",0.000481
HOLLOWAY,576,"58,040",0.000480
LOZANO,577,"57,779",0.000478
RANGEL,578,"57,549",0.000476
FLOWERS,578,"57,549",0.000476
HOOVER,580,"57,497",0.000476
SHORT,581,"57,477",0.000476
ARIAS,581,"57,477",0.000476
MORA,583,"57,464",0.000476
VALENZUELA,584,"57,383",0.000475
BRYAN,585,"57,143",0.000473
MEYERS,586,"57,127",0.000473
WEISS,587,"57,112",0.000473
UNDERWOOD,588,"57,064",0.000472
BASS,589,"57,044",0.000472
GREER,590,"57,043",0.000472
SUMMERS,591,"56,953",0.000471
HOUSTON,592,"56,900",0.000471
CARSON,593,"56,872",0.000471
MORROW,594,"56,840",0.000470
CLAYTON,595,"56,638",0.000469
WHITAKER,596,"56,616",0.000468
DECKER,597,"56,576",0.000468
YODER,598,"56,410",0.000467
COLLIER,599,"56,380",0.000467
ZUNIGA,600,"56,347",0.000466
CAREY,601,"56,322",0.000466
WILCOX,602,"56,286",0.000466
MELENDEZ,603,"56,230",0.000465
POOLE,604,"56,226",0.000465
ROBERSON,605,"56,180",0.000465
LARSEN,606,"55,960",0.000463
CONLEY,607,"55,917",0.000463
DAVENPORT,608,"55,895",0.000463
COPELAND,609,"55,850",0.000462
MASSEY,610,"55,595",0.000460
LAM,611,"55,554",0.000460
HUFF,612,"55,484",0.000459
ROCHA,613,"55,251",0.000457
CAMERON,614,"55,240",0.000457
JEFFERSON,615,"55,179",0.000457
HOOD,616,"55,174",0.000457
MONROE,617,"55,136",0.000456
ANTHONY,618,"55,114",0.000456
PITTMAN,619,"55,021",0.000455
HUYNH,620,"54,996",0.000455
RANDALL,621,"54,764",0.000453
SINGLETON,622,"54,621",0.000452
KIRK,623,"54,394",0.000450
COMBS,624,"54,257",0.000449
MATHIS,625,"54,217",0.000449
CHRISTIAN,626,"54,198",0.000448
SKINNER,627,"54,046",0.000447
BRADFORD,628,"54,015",0.000447
RICHARD,629,"53,893",0.000446
GALVAN,630,"53,822",0.000445
WALL,631,"53,794",0.000445
BOONE,632,"53,792",0.000445
KIRBY,633,"53,767",0.000445
WILKINSON,634,"53,739",0.000445
BRIDGES,635,"53,682",0.000444
BRUCE,636,"53,419",0.000442
ATKINSON,637,"53,376",0.000442
VELEZ,638,"53,265",0.000441
MEZA,639,"53,230",0.000440
ROY,640,"53,159",0.000440
VINCENT,641,"53,095",0.000439
YORK,642,"53,059",0.000439
HODGE,643,"52,920",0.000438
VILLA,644,"52,817",0.000437
ABBOTT,645,"52,739",0.000436
ALLISON,646,"52,701",0.000436
TAPIA,647,"52,651",0.000436
GATES,648,"52,569",0.000435
CHASE,649,"52,481",0.000434
SOSA,650,"52,457",0.000434
SWEENEY,651,"52,410",0.000434
FARRELL,652,"52,321",0.000433
WYATT,653,"52,211",0.000432
DALTON,654,"52,184",0.000432
HORN,655,"52,138",0.000431
BARRON,656,"52,070",0.000431
PHELPS,657,"52,044",0.000431
YU,658,"52,035",0.000431
DICKERSON,659,"51,889",0.000429
HEATH,660,"51,877",0.000429
FOLEY,661,"51,865",0.000429
ATKINS,662,"51,671",0.000428
MATHEWS,663,"51,592",0.000427
BONILLA,664,"51,475",0.000426
ACEVEDO,665,"51,351",0.000425
BENITEZ,666,"51,288",0.000424
ZAVALA,667,"51,153",0.000423
HENSLEY,668,"51,081",0.000423
GLENN,669,"51,043",0.000422
CISNEROS,670,"50,920",0.000421
HARRELL,671,"50,837",0.000421
SHIELDS,672,"50,832",0.000421
RUBIO,673,"50,788",0.000420
HUFFMAN,674,"50,786",0.000420
CHOI,674,"50,786",0.000420
BOYER,676,"50,742",0.000420
GARRISON,677,"50,686",0.000419
ARROYO,678,"50,614",0.000419
